Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
167.96,1791.34,17.05,563.66,1343.02,276.4,563.9,-92.47,39.61,7905.06,457.98
167.6,1794.14,17.01,563.65,1344.12,276.42,564.97,-92.49,39.54,7894.54,458.5
167.46,1785.85,17.17,562.91,1341.52,276.36,564.27,-92.51,39.57,7901.11,457.72
136.57,1510.42,13.57,554.38,1065.25,262.96,558.05,-92.95,38.28,8085.46,365.13
137.45,1512.82,13.59,554.47,1069.54,263.23,557.92,-92.97,38.07,8047.89,364.91
137.64,1518.2,13.6,554.86,1073.72,263.17,558.39,-92.99,38,8090.81,365.48
136.69,1510.27,13.61,554.15,1073.57,263.12,557.29,-93.02,38.03,8123.42,365.07
137.59,1513.97,13.59,554.87,1072.01,263.12,555.93,-93.06,38.06,8124.37,365.26
138.97,1521.37,13.9,554.39,1071.76,262.94,553.49,-93.6,38.1,8067.04,365.88
139.54,1529.38,13.48,555.14,1068.77,262.87,555.8,-93.6,38.19,8050.02,366.31
135.78,1519.12,13.56,554.67,1064.14,262.81,558.45,-93.55,38.46,8031.16,365.98
135.62,1516.81,13.42,554.88,1065.71,262.84,557.94,-93.54,38.34,8045.14,365.88
135.06,1510.85,13.65,554.2,1066.12,262.91,557.05,-93.54,38.44,8032.27,366.19
157.7,1685.67,14.69,557.06,1194.25,269.32,561.34,-92.79,39.02,7956.18,408.03
155.65,1685.24,15.25,559,1209.39,269.88,558.59,-92.78,38.46,8081.13,407.58
152.53,1653.02,15.76,556.21,1201.18,269.73,557.96,-92.77,38.74,8014.59,406.87
150.22,1627.12,15.7,557.6,1193.16,269.54,557.39,-92.76,38.91,7965.99,406.79
152.88,1637.97,15.27,557.53,1199.64,269.52,555.67,-92.75,38.69,8010.76,406.67
153.53,1642.67,15.19,558.3,1194.36,269.66,557.93,-92.74,38.87,7975.01,407.23
152.26,1638.89,15.26,558.12,1194,269.65,559.42,-92.72,38.81,7985.38,406.86
151.25,1633.17,15.43,556.2,1201.56,269.73,557.1,-92.71,38.69,8010.58,406.82
151.67,1641.89,15.42,557.73,1192.26,269.7,557.47,-92.7,38.86,7963.36,406.49
151.91,1641.66,15.25,556.9,1188.73,269.63,560.75,-92.69,39.06,7947.67,406.84
151.93,1645.25,15.22,557.74,1191.12,269.57,562.82,-92.68,38.81,7974.72,407.18
137.52,1510.85,13.46,557.12,1069.21,263.58,556.02,-92.58,38.04,8079.07,364.63
135.87,1502.77,13.26,555.13,1057.86,262.78,555.38,-93.63,38.44,8007.56,364.55
135.23,1498.23,13.41,554.67,1059.22,262.58,555.57,-93.61,38.42,8028.07,364.02
136.44,1502.05,13.5,554.29,1065.99,262.64,553.25,-93.59,38.22,8058.35,364.28
136.7,1502.05,13.35,554.09,1068.49,262.89,552.31,-93.58,38.21,8055.45,364.83
139.28,1501.16,13.45,553.87,1070.58,262.79,556.81,-93.24,38.02,8090.63,364.63
139.29,1498.68,13.59,553.42,1070.34,263.08,556.27,-93.23,38.07,8093.12,364.25
